,bal0,bal1,bal2,bal3,elev0,elev1,flat_url,floor,hfloor,htype,kitarea,lat,livarea,lon,offertype,overallarea,parktype,price,rdate,roomarea0,roomarea1,roomarea2,roomarea3,rooms,slavnum,ulavnum,view
10,3 лодж,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/147320401/,9,12,"вторичка,кирпичный",20.0,55.68127,115.0,37.495896,свободная,178.0,,55000000,,30.0,,,,4,2.0,2.0,двориулица
11,нет,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/151219426/,11,17,"вторичка,панельный",8.0,55.704605,19.0,37.91575,свободная,38.0,,4850000,,19.0,0.0,0.0,0.0,1,,1.0,двор
12,,,,,1 пасс,,http://www.cian.ru/sale/flat/151089297/,2,7,"вторичка,кирпичный",11.0,55.723693,81.3,37.769711,альтернатива,112.2,,17000000,,27.5,25.7,14.1,14.0,4,,1.0,двориулица
13,1 балк,,,,1 пасс,,http://www.cian.ru/sale/flat/151089290/,3,12,"вторичка,блочный",6.2,55.633343,29.0,37.676313,альтернатива,44.6,,6300000,,20.0,9.0,0.0,0.0,2,1.0,,двор
14,1 балк,,,,1 пасс,,http://www.cian.ru/sale/flat/151089292/,5,12,"вторичка,блочный",10.0,55.869334,18.0,37.487874,альтернатива,35.0,,5200000,,,0.0,0.0,0.0,1,1.0,,двор
15,нет,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/149036546/,1,6,"новостройка,кирпично-монолитный",,55.645719,,37.704716,свободная,83.6,,9172433,,,,,0.0,3,,2.0,двориулица
16,нет,,,,1 пасс,,http://www.cian.ru/sale/flat/147827929/,4,6,"вторичка,кирпичный",21.0,55.741794,100.0,37.582538,свободная,141.0,,55000000,,20.0,,,,4,,1.0,двор
17,1 лодж,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/151089299/,16,17,"вторичка,панельный",10.0,55.64698,45.0,37.751134,свободная,76.0,наземная,12000000,,19.0,15.0,11.0,0.0,3,1.0,,двориулица
18,,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/150102575/,24,32,"новостройка,монолитный",15.3,55.760073,49.3,37.738115,214,86.3,,13133200,"(4, 2017)",15.0,,,0.0,3,2.0,,двориулица
19,нет,,,,1 пасс,,http://www.cian.ru/sale/flat/147659438/,8,9,"вторичка,панельный",6.0,55.860822,45.0,37.66123,альтернатива,70.0,,9000000,,,,,,4,1.0,,двориулица
