,bal0,bal1,bal2,bal3,bal4,bal5,bal6,elev0,elev1,floor,hfloor,htype,kitarea,lat,livarea,lon,offertype,overallarea,parktype,price,rdate,roomarea0,roomarea1,roomarea2,roomarea3,roomarea4,roomarea5,roomarea6,rooms,slavnum,ulavnum,view
332,,,,,,,,,,2,5,"вторичка,сталинский",8.4,55.738951,15.0,37.503612,альтернатива,36.0,наземная,7500000,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
333,,,,,,,,,,6,19,вторичка,10.0,55.668295,41.0,37.514607,свободная,56.0,,11450000,,14.0,16.0,12.0,0.0,0.0,0.0,0.0,3,,1.0,двор
334,нет,,,,,,,1 пасс,,1,9,"вторичка,кирпичный",6.0,55.75785,18.0,37.835405,свободная,30.0,,5200000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
335,нет,,,,,,,1 пасс,1 груз,14,17,вторичка,9.0,55.636809,32.0,37.724238,свободная,52.0,наземная,11000000,,18.0,14.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двориулица
336,1 балк,,,,,,,1 пасс,1 груз,11,17,"вторичка,панельный",9.0,55.566445,32.0,37.568129,свободная,52.0,наземная,8500000,,19.0,13.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
337,нет,,,,,,,1 пасс,1 груз,7,17,"вторичка,кирпично-монолитный",23.0,55.785093,44.0,37.735647,свободная,108.0,подземная,32998000,,26.0,18.0,0.0,0.0,0.0,0.0,0.0,2,,2.0,улица
338,нет,,,,,,,1 пасс,,3,9,"вторичка,панельный",7.0,55.716554,18.7,37.45752,свободная,32.6,,5500000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
339,нет,,,,,,,,,1,5,"вторичка,панельный",6.0,55.644597,20.0,37.602076,свободная,32.0,,6100000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
340,,,,,,,,1 пасс,1 груз,2,7,новостройка,,55.730857,,37.643866,свободная,38.7,,12177740,"(2, 2018)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,,двориулица
341,нет,,,,,,,1 пасс,,1,12,вторичка,7.0,55.875299,28.0,37.531029,свободная,35.0,,5000000,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,двориулица
342,1 балк,,,,,,,1 пасс,1 груз,11,12,"вторичка,панельный",7.0,55.871496,24.0,37.495392,свободная,40.0,,8500000,,,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
343,1 балк,,,,,,,3 пасс,1 груз,9,29,"вторичка,кирпично-монолитный",12.0,55.821082,68.0,37.70284,свободная,93.0,,23200000,,20.0,15.0,15.0,0.0,0.0,0.0,0.0,3,,2.0,двориулица
344,,,,,,,,1 пасс,1 груз,3,11,новостройка,,55.741531,,37.646848,свободная,131.4,,79562148,"(1, 2016)",,,,0.0,0.0,0.0,0.0,3,,,двориулица
345,,,,,,,,1 пасс,,10,25,"вторичка,монолитный",10.0,55.774932,32.0,37.548663,свободная,60.0,наземная,18000000,,14.0,18.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,двориулица
346,нет,,,,,,,1 пасс,1 груз,3,17,вторичка,9.0,55.503589,20.0,37.583293,свободная,42.0,,4500000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,улица
347,,,,,,,,1 пасс,1 груз,19,22,"вторичка,панельный",8.0,55.684183,22.0,37.706613,свободная,34.0,,6400000,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
348,1 балк,,,,,,,1 пасс,,6,24,"вторичка,блочный",9.0,55.753068,35.0,37.591512,свободная,53.0,,25500000,,,,0.0,0.0,0.0,0.0,0.0,2,,,двор
349,,,,,,,,3 пасс,1 груз,11,17,"вторичка,панельный",13.0,55.640111,19.0,37.77228,свободная,39.0,,4800000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
350,1 лодж,,,,,,,1 пасс,1 груз,15,17,вторичка,9.0,55.820182,33.0,37.873143,альтернатива,58.0,наземная,6300000,,18.0,15.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
351,1 лодж,,,,,,,1 пасс,1 груз,7,11,"новостройка,монолитный",10.3,55.848134,19.0,37.637506,свободная,40.6,,9248233,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
352,нет,,,,,,,1 пасс,1 груз,9,10,"вторичка,панельный",9.0,55.715875,21.0,37.897308,свободная,42.0,,5400000,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,улица
353,,,,,,,,1 пасс,1 груз,3,5,"вторичка,монолитный",,55.703464,40.0,37.640003,свободная,40.0,наземная,4100000,,40.0,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двориулица
