,bal0,bal1,bal2,bal3,bal4,bal5,bal6,elev0,elev1,floor,hfloor,htype,kitarea,lat,livarea,lon,offertype,overallarea,parktype,price,rdate,roomarea0,roomarea1,roomarea2,roomarea3,roomarea4,roomarea5,roomarea6,rooms,slavnum,ulavnum,view
839,1 балк,,,,,,,,,3,5,"вторичка,панельный",5.0,55.810066,27.7,37.824697,свободная,42.5,,5500000,,19.8,8.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
840,1 балк,,,,,,,1 пасс,,6,9,"вторичка,панельный",6.0,55.728246,27.0,37.417625,свободная,39.0,наземная,5850000,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
841,,,,,,,,1 пасс,,2,6,"вторичка,кирпичный",17.0,55.759208,100.0,37.643408,свободная,152.0,,55000000,,49.0,17.0,17.0,10.0,0.0,0.0,0.0,4,1.0,1.0,двориулица
842,2 балк,,,,,,,2 пасс,,11,12,вторичка,9.0,55.799487,30.0,37.74454,свободная,48.7,наземная,8300000,,17.0,13.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,улица
843,1 балк,,,,,,,,,2,5,вторичка,6.0,55.833567,18.0,37.530355,альтернатива,33.0,,5150000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
844,1 балк,,,,,,,1 пасс,1 груз,9,10,"вторичка,панельный",7.0,55.877698,20.0,37.687048,свободная,35.0,наземная,5800000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,двор
845,нет,,,,,,,1 пасс,,2,6,"вторичка,кирпичный",8.0,55.793475,33.0,37.513503,свободная,54.0,,12450000,,20.0,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
846,1 лодж,,,,,,,2 пасс,2 груз,4,22,вторичка,10.5,55.599906,17.4,37.540838,свободная,41.0,наземная,6400000,,17.4,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,улица
847,нет,,,,,,,1 пасс,1 груз,6,15,"вторичка,кирпично-монолитный",12.3,55.723861,113.9,37.610053,свободная,140.0,подземная,57990000,,30.0,,,,0.0,0.0,0.0,4,,2.0,двор
848,1 лодж,,,,,,,1 пасс,1 груз,2,17,"вторичка,кирпично-монолитный",13.0,55.712852,44.0,37.889654,свободная,75.0,,8500000,,18.0,14.0,13.0,0.0,0.0,0.0,0.0,3,1.0,,двориулица
849,,,,,,,,1 пасс,1 груз,8,12,"вторичка,панельный",7.0,55.591543,23.0,37.671615,свободная,36.0,,4500000,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,,улица
850,нет,,,,,,,1 пасс,1 груз,7,8,"вторичка,монолитный",16.0,55.71271,165.0,37.644477,свободная,185.5,,36895950,,65.0,30.0,30.0,40.0,0.0,0.0,0.0,4,,2.0,двориулица
851,1 балк,,,,,,,,,5,5,вторичка,6.0,55.755393,20.0,37.824742,свободная,34.0,наземная,5100000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
852,,,,,,,,1 пасс,,2,6,"вторичка,кирпичный",,55.771312,27.0,37.655347,альтернатива,39.0,наземная,9500000,,,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
853,,,,,,,,1 пасс,,2,7,"вторичка,кирпичный",11.0,55.753828,33.0,37.582861,свободная,53.1,,13600000,,18.0,15.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,улица
854,1 балк,,,,,,,1 пасс,1 груз,7,17,"вторичка,панельный",9.0,55.837404,18.0,37.403648,свободная,38.0,,6700000,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
855,1 балк,,,,,,,,,2,5,вторичка,6.0,55.781509,17.0,37.460897,свободная,32.0,наземная,5600000,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
856,нет,,,,,,,,,3,5,"вторичка,блочный",6.0,55.76093,30.0,37.74428,свободная,45.0,,7200000,,20.0,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
857,,,,,,,,1 пасс,1 груз,2,9,"вторичка,кирпичный",5.5,55.818923,20.0,37.825137,свободная,32.0,наземная,4780000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
858,нет,,,,,,,,,2,5,"вторичка,кирпичный",5.0,55.744526,28.0,37.580652,свободная,36.0,,12200000,,12.0,16.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,
859,1 балк,,,,,,,1 пасс,,4,8,"вторичка,кирпичный",8.0,55.679428,32.0,37.533885,свободная,50.0,,10200000,,20.0,,0.0,0.0,0.0,0.0,0.0,2,1.0,,улица
860,,,,,,,,1 пасс,1 груз,5,7,"новостройка,кирпично-монолитный",,55.649277,,37.497643,214,38.3,,5532052,"(1, 2017)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,
861,1 лодж,,,,,,,,,3,12,"вторичка,панельный",9.1,55.612095,28.6,37.580679,свободная,48.8,наземная,7350000,,,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
862,4 лодж,,,,,,,1 пасс,1 груз,9,17,вторичка,18.0,55.776315,83.0,37.474731,свободная,144.0,подземная,37990000,,,,,,0.0,0.0,0.0,4,,2.0,
863,1 балк,,,,,,,1 пасс,1 груз,7,17,"вторичка,панельный",9.0,55.685686,35.0,37.674651,альтернатива,54.0,наземная,9250000,,21.14,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
864,1 лодж,,,,,,,1 пасс,1 груз,3,20,"новостройка,монолитный",13.7,55.680985,36.0,37.551786,свободная,66.1,,15129274,,20.0,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
865,1 лодж,,,,,,,1 пасс,,3,9,"вторичка,панельный",6.0,55.665777,39.0,37.496695,свободная,60.0,,11500000,,,,,0.0,0.0,0.0,0.0,3,,1.0,двориулица
866,нет,,,,,,,,,1,5,"вторичка,блочный",6.0,55.797169,20.0,37.61424,альтернатива,33.0,,6200000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
867,нет,,,,,,,,,2,5,"вторичка,панельный",6.0,55.796911,28.0,37.464194,свободная,45.4,,5590000,,18.0,11.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двориулица
868,нет,,,,,,,1 пасс,1 груз,3,12,"новостройка,кирпично-монолитный",10.0,55.872238,18.5,37.68491,свободная,43.2,,7223040,"(4, 2016)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
869,,,,,,,,,,3,46,новостройка,,55.736024,,37.493907,свободная,46.6,,8854000,"(3, 2018)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,,
870,,,,,,,,1 пасс,1 груз,19,20,"новостройка,кирпично-монолитный",,55.879981,,37.597562,214,59.8,,5916612,"(2, 2018)",,,0.0,0.0,0.0,0.0,0.0,2,1.0,,
871,1 лодж,,,,,,,1 груз,,6,9,"вторичка,панельный",8.2,55.856659,17.0,37.428612,свободная,38.0,,6800000,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
872,нет,,,,,,,1 пасс,1 груз,1,12,"вторичка,панельный",9.0,55.890108,32.0,37.609002,альтернатива,53.0,,7300000,,,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двориулица
873,,,,,,,,1 пасс,1 груз,3,16,"вторичка,панельный",6.0,55.673169,16.0,37.498016,свободная,26.2,наземная,6500000,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,улица
874,1 балк,,,,,,,,,18,18,новостройка,,55.604896,,37.653976,214,25.7,,3021318,"(0, 2017)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,,
875,1 лодж,,,,,,,1 пасс,,11,17,"вторичка,панельный",8.4,55.771013,18.9,37.493901,свободная,37.8,,6000000,,18.9,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
876,1 балк,,,,,,,1 пасс,1 груз,10,22,"вторичка,панельный",10.0,55.627361,63.0,37.743687,альтернатива,102.0,наземная,14250000,,12.0,19.0,14.0,19.0,0.0,0.0,0.0,4,1.0,,двор
877,,,,,,,,,,6,20,новостройка,,55.848943,,37.578073,свободная,32.5,,5372250,"(4, 2017)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,,
878,нет,,,,,,,2 груз,,29,32,"новостройка,кирпично-монолитный",,55.645719,18.1,37.704716,свободная,25.9,,3831905,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
879,1 лодж,,,,,,,1 пасс,1 груз,6,17,"новостройка,панельный",7.4,55.700966,16.2,37.93937,свободная,36.7,,4037000,"(3, 2017)",16.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
880,нет,,,,,,,,,4,5,вторичка,7.0,55.725133,30.0,37.669809,свободная,43.0,,8500000,,1812.0,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
881,1 лодж,,,,,,,1 пасс,1 груз,6,21,"вторичка,монолитный",17.0,55.704915,39.0,37.492051,свободная,84.0,подземная,22000000,,18.0,21.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,двор
882,,,,,,,,1 пасс,,1,9,"вторичка,кирпичный",8.0,55.687406,31.0,37.543264,свободная,50.0,наземная,12600000,,18.2,12.7,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
883,1 лодж,,,,,,,1 пасс,,1,9,"вторичка,панельный",7.8,55.739392,21.0,37.819397,свободная,38.0,наземная,5150000,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
884,,,,,,,,,,2,3,"вторичка,кирпичный",,55.641178,23.0,37.33383,свободная,23.2,,1899222,,23.2,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двориулица
885,1 лодж,,,,,,,1 пасс,,4,9,"вторичка,панельный",8.2,55.856892,38.6,37.617536,альтернатива,63.8,наземная,8300000,,12.0,,,0.0,0.0,0.0,0.0,3,1.0,,двориулица
886,,,,,,,,,,1,5,вторичка,6.0,55.824405,20.0,37.754107,свободная,32.0,,4150000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
887,,,,,,,,2 пасс,2 груз,11,30,"новостройка,кирпичный",14.1,55.781838,10.0,37.469925,переуступка,35.5,подземная,10900000,"(2, 2017)",35.0,,,,,,,свободнаяпланировкавЖК«UnionPark(ЮнионПарк)»,,1.0,улица
888,1 лодж,,,,,,,1 пасс,1 груз,2,17,вторичка,9.0,55.904735,30.4,37.550621,свободная,52.1,,8200000,,19.0,11.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двориулица
889,нет,,,,,,,1 пасс,,6,9,вторичка,6.0,55.767251,22.0,37.712758,свободная,32.0,,5000000,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
890,1 балк,,,,,,,,,2,5,"вторичка,кирпичный",7.0,55.878652,30.0,37.714824,альтернатива,48.0,наземная,6700000,,18.0,12.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
891,1 балк,,,,,,,,,4,5,"вторичка,панельный",6.0,55.674184,27.0,37.578235,свободная,42.0,,7950000,,17.0,10.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
892,,,,,,,,1 пасс,,8,9,"вторичка,панельный",6.0,55.611124,28.0,37.709344,свободная,45.0,наземная,6900000,,18.7,9.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
893,нет,,,,,,,1 пасс,,3,9,"вторичка,панельный",7.0,55.874152,52.0,37.698825,свободная,65.0,наземная,7900000,,18.0,16.0,13.0,14.0,0.0,0.0,0.0,4,,1.0,двор
894,1 балк,,,,,,,,,5,5,"вторичка,панельный",6.0,55.650698,32.0,37.576439,свободная,45.0,,6000000,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
895,1 лодж,,,,,,,1 пасс,1 груз,2,17,вторичка,9.0,55.927937,32.0,37.545438,альтернатива,54.0,наземная,6850000,,19.0,13.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двориулица
896,1 балк,,,,,,,,,5,5,"вторичка,кирпичный",6.5,55.732651,30.0,37.673484,свободная,45.0,,7800000,,18.0,12.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
897,,,,,,,,1 пасс,,5,5,"вторичка,сталинский",10.0,55.720332,45.0,37.616467,свободная,75.0,наземная,20000000,,,,,0.0,0.0,0.0,0.0,3,1.0,,двор
898,,,,,,,,,,1,9,"вторичка,панельный",,55.816465,40.0,37.800892,свободная,45.0,,2950000,,,,,,,,,студия,,,двор
899,,,,,,,,2 пасс,2 груз,10,12,"вторичка,панельный",12.1,55.612197,19.3,37.737704,свободная,39.2,наземная,5800000,,8.0,11.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
900,1 балк,,,,,,,1 пасс,,7,9,вторичка,9.0,55.748741,46.0,37.585089,свободная,71.7,,24500000,,,,,0.0,0.0,0.0,0.0,3,1.0,,двориулица
901,,,,,,,,1 пасс,1 груз,3,4,"вторичка,монолитный",,55.703464,40.0,37.640003,свободная,40.0,наземная,4400000,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
902,1 лодж,,,,,,,1 пасс,1 груз,8,10,"вторичка,монолитный",10.0,55.900749,19.0,37.395931,свободная,41.0,,7400000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
903,,,,,,,,1 пасс,,1,9,"вторичка,панельный",6.2,55.57661,30.0,37.653011,свободная,45.0,наземная,4950000,,20.0,10.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
904,1 балк,,,,,,,,,5,5,"вторичка,панельный",5.7,55.677737,31.0,37.553028,альтернатива,45.3,,6990000,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
905,1 балк,,,,,,,1 пасс,1 груз,6,21,"новостройка,панельный",9.2,55.632071,30.1,37.416352,свободная,54.3,,5240915,,15.0,,0.0,0.0,0.0,0.0,0.0,2,1.0,,улица
906,нет,,,,,,,2 груз,,26,32,"новостройка,кирпично-монолитный",12.0,55.645719,14.7,37.704716,свободная,36.3,,4781738,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
907,1 балк,,,,,,,,,2,5,"вторичка,кирпичный",6.0,55.695621,18.0,37.79923,свободная,33.0,наземная,4800000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
908,,,,,,,,,,2,5,"вторичка,кирпичный",6.0,55.751361,20.5,37.521947,свободная,36.8,наземная,6500000,,20.5,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двориулица
909,1 балк,,,,,,,1 пасс,,9,9,"вторичка,кирпичный",8.5,55.735829,54.0,37.644764,свободная,76.0,,23000000,,,,,0.0,0.0,0.0,0.0,3,,1.0,двор
910,1 балк,,,,,,,1 пасс,,7,9,"вторичка,кирпичный",5.6,55.799892,21.0,37.575316,свободная,34.0,,6900000,,12.0,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двориулица
911,1 лодж,,,,,,,1 пасс,1 груз,13,17,"вторичка,панельный",8.0,55.566063,19.2,37.578469,свободная,38.0,,6990000,,19.2,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
912,нет,,,,,,,,,3,5,"вторичка,кирпичный",6.0,55.815539,42.0,37.497018,свободная,57.0,,9000000,,,,,0.0,0.0,0.0,0.0,3,1.0,,двор
913,1 балк,,,,,,,2 пасс,,3,12,вторичка,7.0,55.630777,27.5,37.476411,свободная,45.0,,7500000,,,,0.0,0.0,0.0,0.0,0.0,2,1.0,,улица
914,,,,,,,,1 пасс,,3,8,"вторичка,сталинский",8.4,55.734628,35.2,37.52351,альтернатива,55.7,,17590000,,22.4,12.8,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
915,1 балк,,,,,,,1 пасс,,8,9,"вторичка,кирпичный",6.0,55.844844,23.0,37.451501,свободная,36.0,,6400000,,14.0,9.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
916,нет,,,,,,,1 пасс,1 груз,9,18,"новостройка,монолитный",11.6,55.850616,12.6,37.618053,свободная,35.6,,5964462,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
917,1 балк,,,,,,,,,4,5,вторичка,6.0,55.720489,19.0,37.450989,свободная,32.0,наземная,5200000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двориулица
918,1 балк,,,,,,,1 пасс,,10,40,"вторичка,кирпично-монолитный",35.0,55.806504,150.0,37.449866,свободная,216.0,,89230960,,150.0,,,,0.0,0.0,0.0,4,1.0,,улица
919,1 балк,,,,,,,1 пасс,,5,9,"вторичка,блочный",5.0,55.848337,20.0,37.424749,свободная,33.0,,4700000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
920,,,,,,,,1 пасс,,7,9,"вторичка,панельный",6.0,55.630589,19.0,37.484128,свободная,33.0,,5390000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двориулица
921,,,,,,,,,,14,14,вторичка,,55.769038,,37.60319,свободная,97.0,,57500000,,,,,0.0,0.0,0.0,0.0,3,,,
922,1 балк,,,,,,,1 пасс,,9,9,"вторичка,блочный",7.5,55.800053,24.0,37.570608,альтернатива,38.0,,7699999,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
923,1 лодж,,,,,,,2 пасс,2 груз,7,8,"вторичка,кирпичный",10.0,55.725792,20.0,37.582403,свободная,39.0,наземная,11000000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
924,1 балк,,,,,,,,,5,5,вторичка,6.0,55.82269,27.0,37.599849,свободная,44.0,,5800000,,18.0,9.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
925,1 балк,,,,,,,1 пасс,,4,9,вторичка,5.2,55.810597,21.4,37.794864,альтернатива,31.7,наземная,4600000,,21.4,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двориулица
926,,,,,,,,1 пасс,1 груз,7,17,"вторичка,панельный",8.0,55.702495,26.0,37.669881,свободная,41.0,наземная,8550000,,16.0,10.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,улица
927,нет,,,,,,,4 пасс,,6,33,новостройка,,55.842603,,37.373409,свободная,33.0,,5250000,"(0, 0)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,
928,1 балк,,,,,,,1 пасс,,5,5,"вторичка,кирпичный",6.0,55.794345,40.4,37.695636,альтернатива,55.3,,11990000,,10.0,,,0.0,0.0,0.0,0.0,3,,,двориулица
929,1 лодж,,,,,,,1 пасс,1 груз,6,15,вторичка,25.0,55.667675,120.0,37.51043,свободная,160.0,,52837476,,30.0,25.0,25.0,15.0,0.0,0.0,0.0,4,,3.0,двориулица
930,,,,,,,,1 пасс,1 груз,12,12,"вторичка,панельный",10.0,55.685513,19.4,37.588359,альтернатива,35.0,наземная,7400000,,19.4,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
931,нет,,,,,,,1 пасс,2 груз,21,22,"новостройка,монолитный",12.3,55.835565,11.2,37.4958,свободная,36.0,,7682400,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
932,,,,,,,,3 пасс,,3,15,вторичка,11.9,55.648997,17.1,37.533921,свободная,35.0,,5425000,,17.1,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
933,1 лодж,,,,,,,1 пасс,1 груз,2,9,вторичка,7.0,55.893157,28.0,37.570168,свободная,47.0,,6950000,,17.0,11.0,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
934,нет,,,,,,,1 пасс,,12,12,"вторичка,кирпично-монолитный",20.0,55.890426,38.0,37.390155,свободная,74.0,,14649000,,,,0.0,0.0,0.0,0.0,0.0,2,2.0,,двор
935,1 балк,,,,,,,,,4,5,вторичка,5.8,55.650434,18.4,37.578612,свободная,30.3,наземная,5400000,,18.4,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
936,нет,,,,,,,,,3,4,"вторичка,кирпичный",8.0,55.707213,29.0,37.682646,свободная,50.0,,8500000,,16.0,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
937,1 лодж,,,,,,,1 пасс,,3,9,"вторичка,панельный",6.0,55.657438,41.5,37.489841,свободная,60.0,,11750000,,18.0,11.0,10.0,0.0,0.0,0.0,0.0,3,,1.0,двориулица
938,,,,,,,,1 пасс,1 груз,7,7,"новостройка,кирпично-монолитный",,55.649277,,37.497643,214,50.6,,7122456,"(1, 2017)",,,0.0,0.0,0.0,0.0,0.0,2,1.0,,
939,1 балк,,,,,,,1 пасс,,8,8,вторичка,6.0,55.79515,17.1,37.509586,свободная,31.0,,7600000,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
940,,,,,,,,1 пасс,,3,5,"вторичка,сталинский",9.0,55.756543,60.0,37.587093,альтернатива,87.3,наземная,39990000,,25.0,20.0,15.0,0.0,0.0,0.0,0.0,3,1.0,,двор
941,2 балк,,,,,,,1 пасс,,2,5,"вторичка,кирпичный",9.0,55.721402,44.5,37.604205,свободная,68.0,,18100000,,12.5,18.5,13.5,0.0,0.0,0.0,0.0,3,1.0,,двориулица
942,1 балк,,,,,,,2 пасс,,3,12,"вторичка,панельный",8.4,55.890987,30.2,37.624391,свободная,53.2,,7390000,,17.1,13.1,0.0,0.0,0.0,0.0,0.0,2,1.0,,двориулица
943,1 лодж,,,,,,,1 пасс,,1,9,"вторичка,панельный",6.5,55.874309,20.8,37.557367,свободная,36.5,наземная,4700000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
944,2 лодж,,,,,,,1 пасс,2 груз,20,23,вторичка,12.0,55.606822,90.0,37.589536,свободная,160.0,подземная,24900000,,,,,0.0,0.0,0.0,0.0,3,1.0,2.0,двориулица
945,1 балк,,,,,,,,,3,5,"вторичка,блочный",6.0,55.636712,18.0,37.800613,свободная,33.0,,4050000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
946,,,,,,,,1 пасс,,8,9,"вторичка,блочный",9.0,55.682996,18.0,37.677436,свободная,33.0,наземная,5900000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
947,1 балк,,,,,,,1 пасс,,12,12,"вторичка,панельный",8.0,55.634105,17.0,37.516611,свободная,32.8,,6050000,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,,двор
948,,,,,,,,,,1,9,"вторичка,блочный",8.0,55.708049,25.0,37.751179,свободная,40.0,,5600000,,25.0,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
949,1 балк,,,,,,,1 пасс,,11,12,"вторичка,блочный",6.3,55.627407,23.4,37.654825,свободная,37.4,наземная,3500000,,13.9,9.5,0.0,0.0,0.0,0.0,0.0,2,1.0,,двориулица
950,нет,,,,,,,,,2,23,"новостройка,панельный",,55.863303,,37.366493,свободная,36.1,,3945639,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,,
951,1 балк,,,,,,,1 пасс,,7,9,вторичка,6.0,55.711219,19.0,37.742869,свободная,33.0,наземная,5700000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
952,,,,,,,,2 пасс,,9,9,"вторичка,панельный",12.4,55.873435,35.9,37.612326,альтернатива,69.5,наземная,9700000,,18.3,17.6,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
953,,,,,,,,1 пасс,,7,9,"вторичка,панельный",7.0,55.804425,17.7,37.829404,свободная,33.0,наземная,4950000,,17.7,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
954,1 лодж,,,,,,,1 пасс,1 груз,1,12,"вторичка,кирпичный",14.0,55.738814,18.0,37.496012,альтернатива,41.0,,7500000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
955,,,,,,,,1 пасс,,8,9,"вторичка,блочный",6.1,55.628241,27.7,37.506487,свободная,43.9,наземная,7150000,,17.0,10.7,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
956,,,,,,,,3 пасс,,10,22,вторичка,,55.712127,1.0,37.49939,свободная,103.0,,54000000,,103.0,,0.0,0.0,0.0,0.0,0.0,2,,2.0,двор
957,нет,,,,,,,1 пасс,1 груз,24,25,"новостройка,панельный",8.0,55.588738,15.6,37.603023,свободная,34.4,,5442080,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
958,нет,,,,,,,1 пасс,,10,12,"вторичка,панельный",9.0,55.858544,21.0,37.412613,свободная,46.0,,6400000,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
959,нет,,,,,,,1 пасс,1 груз,17,17,"вторичка,панельный",9.0,55.874935,19.0,37.516314,свободная,39.0,,5500000,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
960,1 лодж,,,,,,,1 пасс,1 груз,4,22,"новостройка,монолитный",14.4,55.848559,15.3,37.419045,свободная,39.4,,9980330,"(1, 2013)",15.3,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двориулица
961,1 балк,,,,,,,,,4,5,"вторичка,панельный",5.5,55.765726,20.0,37.730625,свободная,32.0,наземная,4600000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,двор
962,1 лодж,,,,,,,2 пасс,2 груз,13,24,"новостройка,монолитный",11.0,55.790241,19.0,37.475839,свободная,42.0,,8109499,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
963,1 балк,,,,,,,2 пасс,,4,12,"вторичка,блочный",6.0,55.875324,28.1,37.674535,альтернатива,45.0,наземная,7350000,,8.0,,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
964,1 лодж,,,,,,,1 пасс,,2,9,"вторичка,панельный",6.0,55.811138,20.0,37.808689,свободная,36.3,,5100000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
965,2 лодж,,,,,,,2 пасс,,13,14,"вторичка,панельный",8.5,55.741348,20.8,37.876404,свободная,39.8,наземная,6700000,,20.8,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,улица
966,1 балк,,,,,,,,,5,5,"вторичка,кирпичный",6.0,55.8665,27.0,37.686904,свободная,43.3,,5800000,,12.0,,0.0,0.0,0.0,0.0,0.0,2,,1.0,улица
967,нет,,,,,,,1 пасс,1 груз,10,17,"вторичка,панельный",7.4,55.86448,19.0,37.477453,свободная,38.0,,6350000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
968,1 балк,,,,,,,1 пасс,,11,12,"вторичка,панельный",10.0,55.811816,20.0,37.491826,свободная,36.0,,6300000,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
969,1 лодж,,,,,,,1 пасс,,2,5,вторичка,9.5,55.787234,17.0,37.57607,альтернатива,37.0,,8450000,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двор
970,1 балк,,,,,,,,,4,5,"вторичка,кирпичный",6.5,55.844258,18.0,37.494377,альтернатива,31.0,наземная,5490000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
971,2 балк,,,,,,,1 пасс,1 груз,22,23,"вторичка,монолитный",18.0,55.715525,90.0,37.477103,свободная,153.7,,52000000,,30.0,30.0,30.0,0.0,0.0,0.0,0.0,3,,2.0,двориулица
972,,,,,,,,,,1,5,вторичка,6.0,55.804582,27.0,37.573079,альтернатива,42.0,наземная,7300000,,17.0,10.0,0.0,0.0,0.0,0.0,0.0,2,,1.0,
973,1 лодж,,,,,,,1 пасс,1 груз,7,19,"вторичка,панельный",9.0,55.686766,17.0,37.577975,свободная,39.0,наземная,9350000,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,улица
